ID Info,,ASIN,URL,title,title_short,date_released,Maker Info,Brand,manufacturer,Model Name,item_model,cntry_of_origin,Is Discontinued By Manufacturer,Monetary Info,price_actual,price_list,Hardware,Operating System,OS,Connectivity Technology,Wireless Communication Standard,GPS,Wireless communication technologies,Display technology,Other display features,Human Interface Input,memory_capacity,memory_capacity_2,memory_capacity_mb,Battery,Battery Cell Composition,battery_type,battery_num,battery_capac,Battery Life,Physical Features,Style,Shape,Screen Size,Starting Units of Measurement,scrn_size_inch,Color,Product Dimensions,Item Weight,raw_wght_units,weight_in_oz,"Info about Listing (ie. Review info, ratings, etc.)",rvw_avg,Customer Reviews,cutomer_reviews_1,cutomer_reviews_2,cutomer_reviews_3,num_of_ratings,Best Sellers Rank,,Special Feature,See More?
,35,B0BWSF6H4Q,https://www.amazon.com/WHOOP-4-0-Month-Subscription-Optimization/dp/B0BWSF6H4Q/ref=zg_bs_g_5393958011_d_sccl_3/145-0980347-9463126?psc=1,"WHOOP 4.0 with 12 Month Subscription – Wearable Health, Fitness & Activity Tracker – Continuous Monitoring, Performance Optimization, Heart Rate Tracking – Improve Sleep, Strain, Recovery, Wellness",WHOOP_4.0_with_12_Month_S,3/14/2023,,WHOOP,WHOOP,,,,,,$239.00,Check Page,,,,,,,,,,,,,,,Lithium Ion,Lithium Ion,,,5 days,,,,4,in,4,Onyx,"1.1""L x 0.4""W x 7.1""H",,,,,4,"4.0
1,460 ratings
4.0 out of 5 stars",4,"1,460 ratings",4.0 out of 5 stars,1460,"#770 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#4 in Activity & Fitness Trackers",,,FALSE
,14,B0CY7F3HSN,https://www.amazon.com/KEEPONFIT-Fitness-Tracker-Resistance-Activity/dp/B0CY7F3HSN/ref=zg_bs_g_5393958011_d_sccl_14/145-0980347-9463126?psc=1,"Fitness Tracker, 1.57"" Touch Screen 3ATM Water Resistance, Activity Tracker with 100 Workout Modes Heart Rate/SpO2/Stress/Sleep Monitor for Men and Women","Fitness_Tracker,_1.57""_To",3/25/2024,,KEEPONFIT,,FUIDBO3,,,,,$25.49,$29.99,,,,Bluetooth,,,,,,,,,,,Lithium Ion,,,,,,Modern,,1.57,in,1.57,BLACK,,,,,,4.5,"4.5
637 ratings
4.5 out of 5 stars",4.5,637 ratings,4.5 out of 5 stars,637,"#4,648 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#36 in Activity & Fitness Trackers",,,FALSE
,52,,https://www.amazon.com/Fitbit-Wellness-Management-Tracking-Graphite/dp/B08ZF7QDXJ/ref=zg_bs_g_5393958011_d_sccl_34/145-0980347-9463126?psc=1,"Fitbit Luxe-Fitness and Wellness-Tracker with Stress Management, Sleep-Tracking and 24/7 Heart Rate, Black/Graphite, One Size (S & L Bands Included)",Fitbit_Luxe-Fitness_and_W,,,Fitbit,,Fitbit Luxe,,,,,$145.99,$79.99,,Android,,GPS,Bluetooth,Built-in GPS,,,,,6400,Mibyte,6.25,,Lithium Ion,,,,,,,Rectangular,0.96,in,0.96,,,,,,,4.3,,,,,#VALUE!,,,,FALSE
,54,B0D6DVY3L7,https://www.amazon.com/Calories-Stopwatch-Activity-1-10AMOLED-Pedometer/dp/B0D6DVY3L7/ref=zg_bs_g_5393958011_d_sccl_36/145-0980347-9463126?psc=1,"Fitness Tracker with Step Counter/Calories/Stopwatch, Activity Tracker, Health Tracker with Heart Rate Monitor, Sleep Tracker,1.10''AMOLED Touch Color Screen, Pedometer Watch for Women Men Kids, Pink",Fitness_Tracker_with_Step,6/7/2024,,,,,,,,,$28.99,$79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,"3.3
24 ratings
3.3 out of 5 stars",3.3,24 ratings,3.3 out of 5 stars,24,"#278,504 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#621 in Activity & Fitness Trackers",,,FALSE
,58,,https://www.amazon.com/Inspiratek-Kids-Fitness-Tracker-Girls/dp/B07YBMBXSK/ref=zg_bs_g_5393958011_d_sccl_40/145-0980347-9463126?psc=1,,,,,,,,,,,,,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,#VALUE!,,,,FALSE
,63,B0DB5K3DK9,https://www.amazon.com/Zeacool-Pressure-Activity-Waterproof-Pedometer/dp/B0DB5K3DK9/ref=zg_bs_g_5393958011_d_sccl_47/145-0980347-9463126?psc=1,"Fitness Tracker with 24/7 Heart Rate, Blood Oxygen Blood Pressure Sleep Monitor, Activity Trackers 5 ATM Waterproof,Step Calorie Counter Pedometer Health Smart Watch for Women Men",Fitness_Tracker_with_24/7,7/26/2024,,,,,,,,,$28.99,$79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,"4.5
76 ratings
4.5 out of 5 stars",4.5,76 ratings,4.5 out of 5 stars,76,"#2,360 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#15 in Activity & Fitness Trackers
#15 in Electronics & Gadgets",,,FALSE
,70,,https://www.amazon.com/MgaoLo-Fitness-Waterproof-Activity-Pedometer/dp/B0D9Y3PMN8/ref=zg_bs_g_5393958011_d_sccl_7/145-0980347-9463126?psc=1,,,,,,,,,,,,,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,#VALUE!,,,,FALSE
,76,B0C2717Y6G,https://www.amazon.com/Amazfit-Fitness-Monitoring-Tracking-Resistant/dp/B08PF6M6TB/ref=zg_bs_g_5393958011_d_sccl_18/145-0980347-9463126?psc=1,"Amazfit Certified Refurbished Band, Fitness & Health Tracker for Women Men, Long Battery Life, Alexa Built-in, AMOLED Display, Heart Rate & SPO₂ & Stress Monitoring, 5 ATM Water Resistant (Renewed)",Amazfit_Certified_Refurbi,4/11/2023,,,,,,,,,,$39.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,"3.9
276 ratings
3.9 out of 5 stars",3.9,276 ratings,3.9 out of 5 stars,276,"#27,569 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#125 in Activity & Fitness Trackers",,,FALSE
,80,B0D6FXQ9WP,https://www.amazon.com/Fitness-Tracker-Activity-Trackers-Pedometer/dp/B0D6FXQ9WP/ref=zg_bs_g_5393958011_d_sccl_25/145-0980347-9463126?psc=1,"Fitness Tracker, Step Tracker with Heart Rate, Smart Watch Step Counter with Calorie, Sleep Tracker, 25 Sports, Activity Trackers Pedometer Watches for Women Men Android Phones iPhones","Fitness_Tracker,_Step_Tra",6/7/2024,,,,,,,,,$18.99,$79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,"3.7
31 ratings
3.7 out of 5 stars",3.7,31 ratings,3.7 out of 5 stars,31,"#196,560 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#481 in Activity & Fitness Trackers",,,FALSE
,83,B0D7ZTRL6X,https://www.amazon.com/Fitness-Pressure-Pedometer-Activity-Smartwatch/dp/B0D7ZTRL6X/ref=zg_bs_g_5393958011_d_sccl_29/145-0980347-9463126?psc=1,"Fitness Tracker, 1.10"" Step Tracker with 24/7 Heart Rate, Blood Pressure, Sleep Tracker, Step Counter Pedometer for Android iOS, Activity Tracker, Smartwatch, Pedometer Watch for Women Men Kids","Fitness_Tracker,_1.10""_St",6/26/2024,,,,,,,,,$16.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,"3.8
26 ratings
3.8 out of 5 stars",3.8,26 ratings,3.8 out of 5 stars,26,,,,FALSE
,85,B0CK4ZM6BH,https://www.amazon.com/WHOOP-Versatile-Comfortable-Adjustable-Compatible/dp/B0CK4ZM6BH/ref=zg_bs_g_5393958011_d_sccl_81/145-0980347-9463126?psc=1,"WHOOP Bicep Band, Versatile, Comfortable, and Adjustable, 4.0 Compatible, Wearable Health, Fitness & Activity Tracker","WHOOP_Bicep_Band,_Versati",10/2/2023,,,,,,,,,$54.00,$12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,"4.3
24 ratings
4.3 out of 5 stars",4.3,24 ratings,4.3 out of 5 stars,24,"#11,809 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#72 in Activity & Fitness Trackers",,,FALSE
,86,B0D6V51CKH,https://www.amazon.com/Bakoor-Pressure-Activity-Trackers-Pedometer/dp/B0D6V51CKH/ref=zg_bs_g_5393958011_d_sccl_82/145-0980347-9463126?psc=1,"Fitness Tracker, Step Tracker with Blood Oxygen, Blood Pressure, 24/7 Heart Rate, Steps Counter with Sleep Tracking, Activity Trackers Pedometer Watch for Android Phones iPhone Women Men","Fitness_Tracker,_Step_Tra",6/12/2024,,,,,,,,,$28.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,"3.9
27 ratings
3.9 out of 5 stars",3.9,27 ratings,3.9 out of 5 stars,27,,,,FALSE
,87,,https://www.amazon.com/Garmin-v%C3%ADvosmart-Activity-Fitness-Midnight/dp/B07GM59D12/ref=zg_bs_g_5393958011_d_sccl_84/145-0980347-9463126?psc=1,"Garmin vivosmart 4, Activity and Fitness Tracker w/ Pulse Ox and Heart Rate Monitor","Garmin_vivosmart_4,_Activ",,,,,,,,,,$64.99,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,#VALUE!,,,,FALSE
,88,B0D6HW2BSD,https://www.amazon.com/WHOOP-HydroKnit-Comfortable-Adjustable-Compatible/dp/B0D6HW2BSD/ref=zg_bs_g_5393958011_d_sccl_85/145-0980347-9463126?psc=1,"WHOOP HydroKnit Bicep Band, Versatile, Comfortable, and Adjustable, 4.0 Compatible, Wearable Health, Fitness & Activity Tracker",WHOOP_HydroKnit_Bicep_Ban,6/7/2024,,,,,,,,,$54.00,Check Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,"3.8
10 ratings
3.8 out of 5 stars",3.8,10 ratings,3.8 out of 5 stars,10,"#20,588 in Sports & Outdoors (See Top 100 in Sports & Outdoors)
#105 in Activity & Fitness Trackers",,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
